Perovskite,Tolerance_factor_old,Tolerance_factor_new,Temperature_K,Growth_K,A_source,A_amount_mmol,B1_source,B1_amount_mmol,B2_source,B2_amount_mmol,X_source,X_amount_mmol,Phosphine,Phosphine_amount_mmol,Amine,Amine_amount_mmol,Carboxylic_acid,Carboxylic_acid_amount_mmol,Solvent_I,S_I_amount_mL,Solvent_II,S_II_amount_mL,Total_amount,Bandgap,Bandgap_from,Time_min,Diameter_nm,Diameter_from,DOI,Articles
Cs4MnSb2Cl12,1.01,4.02,443,453,cesium_acetate,0.17,manganese_II_acetate,0.25,antimony_III_acetate,0.50,chlorotrimethylsilane,3.14,0,0.00,oleylamine,2.00,oleic_acid,8.87,octadecene,10.00,0,0.00,10.00,3.17,tauc_plot,0.02,13.50,TEM,10.1002/adma.202007215,22
Cs4MnBi2Cl12,0.94,3.82,443,453,cesium_acetate,0.17,manganese_II_acetate,0.25,bismuth_III_acetate,0.50,chlorotrimethylsilane,3.14,0,0.00,oleylamine,2.00,oleic_acid,8.87,octadecene,10.00,0,0.00,10.00,3.27,tauc_plot,0.02,9.70,TEM,10.1002/adma.202007215,22
Cs2AgInCl6,0.96,3.79,453,453,cesium_carbonate,0.50,silver_acetate,0.50,indium_III_acetate,0.55,chlorotrimethylsilane,4.70,0,0.00,oleylamine,1.52,oleic_acid,3.17,octadecene,10.00,0,0.00,10.00,4.80,tauc_plot,0.50,12.40,TEM,10.1002/adom202001866,23
Cs2AgBiBr6,0.89,3.96,473,473,cesium_carbonate,0.09,silver_nitrate,0.20,bismuth_III_bromide,0.20,from_metal_salt,0.00,0,0.00,oleylamine,6.08,oleic_acid,6.65,octadecene,9.50,hydrobromic_acid,0.20,9.70,2.52,tauc_plot,0.08,16.30,TEM,10.1016/j.jcat.2021.03.007,24
Cs2AgBiBr6,0.89,3.96,473,473,cesium_carbonate,0.03,silver_bromide,0.11,bismuth_III_bromide,0.20,from_metal_salt,0.00,0,0.00,oleylamine,1.50,oleic_acid,3.26,octadecene,5.47,0,0.00,5.47,2.00,tauc_plot,3.00,9.70,TEM,10.1021/acs.chemmater.9b02149,25
Cs2AgBiBr6,0.90,3.96,473,473,cesium_carbonate,0.03,silver_bromide,0.11,bismuth_III_bromide,0.20,from_metal_salt,0.00,diisooctylphosphinic_acid,3.07,oleylamine,1.50,0,0.00,octadecene,5.47,0,0.00,5.47,2.00,tauc_plot,3.00,11.00,TEM,10.1021/acs.chemmater.9b02149,25
Cs2AgBiBr6,0.90,3.96,473,473,cesium_carbonate,0.03,silver_bromide,0.11,bismuth_III_bromide,0.20,from_metal_salt,0.00,0,0.00,oleylamine,1.52,oleic_acid,1.68,octadecene,5.47,0,0.00,5.47,2.00,tauc_plot,3.00,9.70,TEM,10.1021/acs.chemmater.9b02149,25
Cs2AgBiBr6,0.90,3.96,473,473,cesium_carbonate,0.03,silver_bromide,0.11,bismuth_III_bromide,0.20,from_metal_salt,0.00,0,0.00,oleylamine,0.76,oleic_acid,3.26,octadecene,5.47,0,0.00,5.47,2.00,tauc_plot,3.00,15.30,TEM,10.1021/acs.chemmater.9b02149,25
Cs2AgBiBr6,0.89,3.96,473,473,cesium_carbonate,0.03,silver_bromide,0.11,bismuth_III_bromide,0.20,from_metal_salt,0.00,0,0.00,oleylamine,0.38,oleic_acid,3.26,octadecene,5.47,0,0.00,5.47,2.00,tauc_plot,3.00,17.00,TEM,10.1021/acs.chemmater.9b02149,25
Cs2NaErCl6,0.94,3.80,458,468,cesium_acetate,0.65,sodium_acetate,0.45,erbium_III_acetate,0.50,chlorotrimethylsilane,3.15,0,0.00,oleylamine,1.98,oleic_acid,7.92,octadecene,10.00,0,0.00,10.00,4.58,tauc_plot,0.02,15.60,TEM,10.1002/lpor.202100218,26
Cs4SnBr3I3,0.87,4.13,453,453,cesium_carbonate,0.25,tin_II_bromide,0.20,tin_II_iodide,0.20,from_metal_salt,0.00,trioctylphosphine,0.90,oleylamine,0.30,oleic_acid,1.33,octadecene,13.16,0,0.00,13.16,3.20,tauc_plot,0.83,26.60,TEM,10.1039/D1NR06497E,27
Cs2AgBiCl6,0.91,3.82,473,473,cesium_carbonate,0.11,silver_nitrate,0.10,bismuth_III_chloride,0.1015,from_metal_salt,0.00,0,0.00,oleylamine,3.04,oleic_acid,3.52,octadecene,10.89,0,0.00,10.89,2.93,tauc_plot,1.00,15.80,TEM,10.1016/j.materresbull.2021.111645,28
Cs2AgBiCl6,0.91,3.82,413,413,cesium_acetate,0.71,silver_acetate,0.50,bismuth_III_acetate,0.50,chlorotrimethylsilane,2.70,0,0.00,oleylamine,1.87,oleic_acid,8.85,octadecene,10.00,0,0.00,10.00,3.39,tauc_plot,0.25,12.90,TEM,10.1021/acs.jpclett.9b02168,29
Cs2AgInCl6,0.94,3.79,378,378,cesium_carbonate,0.25,silver_acetate,0.24,indium_III_acetate,0.25,benzoyl_chloride,1.72,0,0.00,oleylamine,1.52,oleic_acid,6.34,diphenyl_ether,4.50,0,0.00,4.50,4.21,tauc_plot,0.02,17.00,TEM,10.1021/acsomega.1c03290,30
Cs2AgBiBr6,0.89,3.96,423,423,cesium_acetate,0.71,silver_acetate,0.50,bismuth_III_acetate,0.50,bromotrimethylsilane,2.70,0,0.00,oleylamine,1.82,oleic_acid,8.87,octadecene,10.00,0,0.00,10.00,2.89,spectra,0.17,9.00,TEM,10.1021/acs.chemmater.9b04243,31
Cs2NaBiCl6,0.92,3.79,413,413,cesium_carbonate,0.25,sodium_acetate,0.25,bismuth_III_acetate,0.25,benzoyl_chloride,1.89,0,0.00,oleylamine,1.82,oleic_acid,3.80,dioctyl_ether,4.50,0,0.00,4.50,3.70,spectra,0.02,10.10,TEM,10.1021/acsenergylett.0c00914,32
Cs4CuSb2Cl12,1.02,4.16,423,423,cesium_carbonate,0.07,copper_II_chloride,0.25,antimony_III_acetate,0.25,benzoyl_chloride,2.84,0,0.00,0,0.00,oleic_acid,3.58,diphenyl_ether,2.54,0,0.00,2.54,1.56,tauc_plot,0.17,3.90,TEM,10.1021/acsanm.0c02879,33
Cs2NaBiCl6,0.92,3.79,441,453,cesium_carbonate,0.65,sodium_acetate,0.45,bismuth_III_acetate,0.50,chlorotrimethylsilane,3.15,0,0.00,oleylamine,2.13,oleic_acid,8.87,0,0.00,0,0.00,0.00,3.80,spectra,0.02,10.62,TEM,10.1021/acscentsci.0c00056,34
Cs2NaInCl6,0.96,3.84,441,453,cesium_carbonate,0.65,sodium_acetate,0.45,indium_III_acetate,0.50,chlorotrimethylsilane,3.15,0,0.00,oleylamine,2.13,oleic_acid,8.87,0,0.00,0,0.00,0.00,3.80,spectra,0.02,11.82,TEM,10.1021/acscentsci.0c00056,34
Cs2AgBiBr6,0.89,3.96,433,433,cesium_acetate,0.71,silver_oxide,0.50,bismuth_III_neodecanoate,0.75,benzoyl_bromide,16.84,0,0.00,oleylamine,3.65,oleic_acid,3.80,octadecene,11.00,0,0.00,11.00,2.25,tauc_plot,0.25,15.00,TEM,10.1002/er.6924,35
Cs4CdSb2Cl12,0.99,3.91,433,433,cesium_carbonate,0.36,cadmium_II_acetate,0.13,antimony_III_acetate,0.25,benzoyl_chloride,3.44,0,0.00,oleylamine,2.66,oleic_acid,6.34,dioctyl_ether,4.40,0,0.00,4.40,3.80,spectra,0.02,10.70,TEM,10.1039/d1nr06200j,36
Cs4MnSb2Cl12,1.01,4.02,433,433,cesium_carbonate,0.36,manganese_II_acetate,0.13,antimony_III_acetate,0.25,benzoyl_chloride,3.44,0,0.00,oleylamine,2.66,oleic_acid,6.34,dioctyl_ether,4.40,0,0.00,4.40,3.80,spectra,0.02,12.40,TEM,10.1039/d1nr06200j,36
Cs2AgSbCl6,0.97,3.80,503,503,cesium_carbonate,0.16,silver_nitrate,0.50,antimony_III_chloride,0.50,from_metal_salt,0.00,0,0.00,oleylamine,3.04,oleic_acid,3.68,octadecene,14.64,0,0.00,14.64,3.45,spectra,0.08,9.50,TEM,10.1063/1.5127971,37
Cs2AgBiCl6,0.90,3.82,503,503,cesium_carbonate,0.16,silver_nitrate,0.50,bismuth_III_chloride,0.50,from_metal_salt,0.00,0,0.00,oleylamine,3.04,oleic_acid,3.68,octadecene,14.64,0,0.00,14.64,3.39,spectra,0.08,10.70,TEM,10.1063/1.5127971,37
Cs2AgBiBr6,0.89,3.96,473,473,cesium_carbonate,0.05,silver_nitrate,0.10,bismuth_III_bromide,0.10,from_metal_salt,0.00,0,0.00,oleylamine,3.04,oleic_acid,4.75,octadecene,4.75,hydrobromic_acid,0.10,4.85,2.52,tauc_plot,0.08,9.50,TEM,10.1002/smll.201703762,38
Cs3Bi2I6Cl3,0.90,3.98,393,393,cesium_carbonate,0.04,bismuth_III_iodide,0.26,bismuth_III_chloride,0.13,from_metal_salt,0.00,0,0.00,oleylamine,3.04,oleic_acid,1.04,octadecene,10.56,0,0.00,10.56,2.50,spectra,0.08,20.00,TEM,10.1002/anie.202005966,39
Cs2AgInCl6,0.96,3.79,373,373,cesium_acetate,0.13,silver_acetate,0.25,indium_III_acetate,0.25,benzoyl_chloride,1.50,0,0.00,oleylamine,1.14,oleic_acid,3.96,xylene,5.00,0,0.00,5.00,2.38,spectra,0.02,7.50,TEM,10.1021/acs.chemmater.0c04536,40
Cs2AgInCl6,0.96,3.79,378,378,cesium_carbonate,0.25,silver_acetate,0.24,indium_III_acetate,0.25,benzoyl_chloride,1.72,0,0.00,oleylamine,1.52,oleic_acid,3.17,diphenyl_ether,4.50,0,0.00,4.50,3.46,tauc_plot,0.08,14.60,TEM,10.1021/acs.chemmater.9b02973,41
Cs2AgBiCl6,0.90,3.82,378,378,cesium_carbonate,0.25,silver_acetate,0.24,bismuth_III_acetate,0.25,benzoyl_chloride,1.72,0,0.00,oleylamine,1.52,oleic_acid,3.17,diphenyl_ether,4.500,0,0.00,4.50,2.87,tauc_plot,0.08,8.00,TEM,10.1021/acs.chemmater.9b02973,41
Cs2AgBiBr6,0.89,3.96,423,423,cesium_carbonate,0.01,silver_bromide,0.06,bismuth_III_bromide,0.12,from_metal_salt,0.00,0,0.00,octylamine,2.42,oleic_acid,3.96,octadecene,10.00,octanoic_acid,0.40,10.40,2.32,tauc_plot,5.00,200.00,TEM,10.1007/s12274-021-3343-x,42
Cs2AgBiBr6,0.90,3.96,423,423,cesium_carbonate,0.01,silver_bromide,0.06,bismuth_III_bromide,0.12,from_metal_salt,0.00,0,0.00,octylamine,2.42,oleic_acid,3.96,octadecene,10.00,octanoic_acid,0.40,10.40,2.32,spectra,5.00,15.00,TEM,10.1007/s12274-021-3343-x,42
